Twain, Mark;1,000,000 Pound Bank Note: For a Dear Friend;Ebury Press;91783992
Random House Disney;101 Dalmatians;Disney Press;736421459
Brocklehurst, Ruth;1001 Animals to Spot;Usborne;794501494
Doherty, Gillian;1001 Things to Spot Long ago;Usborne;794507166
Guirao-Jullien, Magdalena;24 petites souris avant Noël;Flammarion;2081625458
Lagemann, Barbara; Die Räuber vom Turia-Wald;Klett;3126754597
Schmiedeskamp, Katja;1, 2, 3 OstermalerEi;Annette Betz;3219111556
Weidinger, Erich~Tust, Dorothea; Moritz und der Dirigent (I);Annette Betz;3219112439
Kruse, Max;1000 Stiefel - Ein Märchen mit Musik;Betz;3219113354
Mala, Matthias~Jaquet, Gertie; Komm und spiel mit uns! (I);Arena;3401044699
Farndon, John; Der Arena Tieratlas (I);Arena;3401054414
MacDonald, Fiona; Die alten Ägypter (I);Arena;3401057480
Helbrough, Emma; So lebte ein Pharao (I);Arena;3401059343
Jörg, Sabine; Detektivgeschichten;Arena;3401078321
Brehmer, Alicia; Mit Lisa und Paul im Garten Ein Buch fürs ganze Jahr (I);Arena;3401083864
Hillmann, Peter~Hoffmann, Ina; Mein erstes Berufe-Lexikon von A bis Z (I);Arena;3401084437
Knister;10 Jahre Knister - Zauberhafte Hexe Lilli (hier: Hexe Lilli feiert Geburtstag);Arena;3401085050
Seer, Ulli; Just fun - Der Kurs für junge Segler (I);blv;3405168058
Linder, Tanja; Just fun - Ballett für Kinder (I);blv;3405168856
Kordon, Klaus;1848 - Die Geschichte von Jette und Frieder;Beltz & Gelberg;3407788517
Henkes, Kevin;... und dann kam Joselle;dtv junior;3423703962
Steinhöfel, Andreas;1:0 für Sven und Renan;dtv junior;3423750383
Fischer, Mini; Fahrrad und Motorrad (I);Fischer;3439821331
Hensel, Wolfgang; Deine Meerschweinchen - Was sie brauchen und was sie alles können (I);Kosmos;3440077845
Whitehard, Sarah; Das Katzenbuch für Kids (I);Kosmos;3440090841
Kienle, Dela; Geolino. Menschen-Welten-Abenteuer: Ägypten - Geheimnis am Nil (I);Kosmos;3440108031
Schiller, Friedrich von~Härtling, Peter~Traxler, Hans;... und mich - mich ruft das Flügeltier. Schiller für Kinder;Insel;3458172211
Schneider, Renate~Schneider, Karl-Hermann; Die Quiz-Bibel 2 (I);Katholisches Bibelwerk;3460304693
Faridi, Ben;1492 - Das geheime Manuskript - Ein Leseprojekt;Cornelsen;3464604861
Wilhelm, Hans;1:0 für Ralf;Ravensburger;3473336084
Schober, Michael~Uebe, Ingrid;1, 2, 3 Zahlen fliegt herbei;Ravensburger;3473337749
Wensell, Ulises~Erne, Thomas; Die große Ravensburger Kinderbibel (I);Ravensburger;3473339253
Mai, Manfred;1, 2, 3 Zahlenspielerei;Ravensburger;3473340324
Humbach, Markus;1, 2, 3 ... Geburtstagszauberei;Ravensburger;3473341401
Margraf, Miriam;1000 Gefahren: Kampf auf Burg Falkenstein;Ravensburger;3473348163
Packard, Edward;1000 Gefahren - Gefährliche Safari;Ravensburger;3473348201
Klocker, Ursula  (Übersetzer); Das Ravensburger Kinderlexikon von A bis Z (I);Ravensburger;3473354589
Mennen, Patricia; Das große Ravensburger Bilder Lexikon von A - Z (I);Ravensburger;3473355577
Pott, Eckart; Das große Ravensburger Tierlexikon von A-Z (I);Ravensburger;3473356409
